RPT_DIST_NO,CRM_CD,CRM_CD_DESC,TOTAL,OCCR_RNK
1986,510,VEHICLE - STOLEN,1,1
1987,510,VEHICLE - STOLEN,137,1
1988,510,VEHICLE - STOLEN,92,1
1989,510,VEHICLE - STOLEN,23,1
1991,510,VEHICLE - STOLEN,139,1
1993,510,VEHICLE - STOLEN,115,1
1994,510,VEHICLE - STOLEN,111,1
1995,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),71,1
1996,510,VEHICLE - STOLEN,1,1
1998,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),224,1
1999,510,VEHICLE - STOLEN,208,1
2001,310,BURGLARY,115,1
2002,510,VEHICLE - STOLEN,129,1
2004,510,VEHICLE - STOLEN,144,1
2005,510,VEHICLE - STOLEN,101,1
2011,510,VEHICLE - STOLEN,141,1
2013,510,VEHICLE - STOLEN,103,1
2014,510,VEHICLE - STOLEN,131,1
2015,510,VEHICLE - STOLEN,103,1
2016,624,BATTERY - SIMPLE ASSAULT,62,1
2017,624,BATTERY - SIMPLE ASSAULT,76,1
2019,510,VEHICLE - STOLEN,219,1
2021,510,VEHICLE - STOLEN,96,1
2022,510,VEHICLE - STOLEN,168,1
2023,510,VEHICLE - STOLEN,173,1
2024,330,BURGLARY FROM VEHICLE,238,1
2025,626,INTIMATE PARTNER - SIMPLE ASSAULT,90,1
2026,510,VEHICLE - STOLEN,127,1
2027,624,BATTERY - SIMPLE ASSAULT,231,1
2029,888,TRESPASSING,423,1
2031,510,VEHICLE - STOLEN,130,1
2033,510,VEHICLE - STOLEN,212,1
2034,330,BURGLARY FROM VEHICLE,118,1
2035,624,BATTERY - SIMPLE ASSAULT,84,1
2036,510,VEHICLE - STOLEN,82,1
2038,624,BATTERY - SIMPLE ASSAULT,93,1
2039,626,INTIMATE PARTNER - SIMPLE ASSAULT,89,1
2041,310,BURGLARY,110,1
2042,510,VEHICLE - STOLEN,140,1
2044,510,VEHICLE - STOLEN,96,1
2045,510,VEHICLE - STOLEN,63,1
2046,510,VEHICLE - STOLEN,75,1
2049,624,BATTERY - SIMPLE ASSAULT,78,1
2053,510,VEHICLE - STOLEN,82,1
2054,510,VEHICLE - STOLEN,73,1
2055,510,VEHICLE - STOLEN,114,1
2056,624,BATTERY - SIMPLE ASSAULT,97,1
2058,510,VEHICLE - STOLEN,80,1
2062,510,VEHICLE - STOLEN,152,1
2063,510,VEHICLE - STOLEN,62,1
2064,510,VEHICLE - STOLEN,57,1
2069,510,VEHICLE - STOLEN,177,1
2071,510,VEHICLE - STOLEN,113,1
2073,624,BATTERY - SIMPLE ASSAULT,41,1
2074,510,VEHICLE - STOLEN,103,1
2076,510,VEHICLE - STOLEN,111,1
2079,624,BATTERY - SIMPLE ASSAULT,121,1
2081,624,BATTERY - SIMPLE ASSAULT,123,1
2083,510,VEHICLE - STOLEN,63,1
2088,510,VEHICLE - STOLEN,112,1
2091,510,VEHICLE - STOLEN,56,1
2093,510,VEHICLE - STOLEN,67,1
2097,510,VEHICLE - STOLEN,112,1
2099,510,VEHICLE - STOLEN,74,1
2101,354,THEFT OF IDENTITY,25,1
2102,354,THEFT OF IDENTITY,26,1
2103,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),102,1
2104,510,VEHICLE - STOLEN,44,1
2105,354,THEFT OF IDENTITY,90,1
2106,310,BURGLARY,21,1
2106,901,VIOLATION OF RESTRAINING ORDER,21,1
2107,624,BATTERY - SIMPLE ASSAULT,78,1
2111,354,THEFT OF IDENTITY,76,1
2113,354,THEFT OF IDENTITY,49,1
2114,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),88,1
2115,624,BATTERY - SIMPLE ASSAULT,86,1
2118,510,VEHICLE - STOLEN,78,1
2125,354,THEFT OF IDENTITY,65,1
2126,510,VEHICLE - STOLEN,105,1
2128,624,BATTERY - SIMPLE ASSAULT,83,1
2129,510,VEHICLE - STOLEN,82,1
2131,354,THEFT OF IDENTITY,12,1
2132,310,BURGLARY,34,1
2133,354,THEFT OF IDENTITY,50,1
2134,510,VEHICLE - STOLEN,89,1
2136,510,VEHICLE - STOLEN,150,1
2137,510,VEHICLE - STOLEN,84,1
2138,354,THEFT OF IDENTITY,81,1
2138,510,VEHICLE - STOLEN,81,1
2139,510,VEHICLE - STOLEN,134,1
2141,354,THEFT OF IDENTITY,72,1
2142,354,THEFT OF IDENTITY,48,1
2143,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),620,1
2144,354,THEFT OF IDENTITY,59,1
2145,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,1
2146,510,VEHICLE - STOLEN,167,1
2147,310,BURGLARY,67,1
2148,510,VEHICLE - STOLEN,74,1
2149,510,VEHICLE - STOLEN,81,1
2155,354,THEFT OF IDENTITY,127,1
2156,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1442,1
2157,510,VEHICLE - STOLEN,259,1
2158,310,BURGLARY,237,1
2159,310,BURGLARY,29,1
2161,310,BURGLARY,61,1
2162,354,THEFT OF IDENTITY,37,1
2169,354,THEFT OF IDENTITY,32,1
2172,310,BURGLARY,50,1
2173,310,BURGLARY,57,1
2175,310,BURGLARY,118,1
2177,354,THEFT OF IDENTITY,142,1
2183,310,BURGLARY,83,1
2185,310,BURGLARY,115,1
2187,310,BURGLARY,136,1
2187,624,BATTERY - SIMPLE ASSAULT,136,1
2189,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),372,1
2196,354,THEFT OF IDENTITY,54,1
2196,330,BURGLARY FROM VEHICLE,54,1
2197,310,BURGLARY,43,1
2198,354,THEFT OF IDENTITY,6,1
2199,330,BURGLARY FROM VEHICLE,1,1
2199,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,1
