LAT_1KM_GRP,LON_1KM_GRP,AREA_NAME,TOTAL_EVENTS
34.15,-118.45,VAN NUYS,1640
34.06,-118.34,WILSHIRE,1633
34.08,-118.38,WILSHIRE,1630
34.06,-118.36,WILSHIRE,1624
34.02,-118.24,NEWTON,1619
34.01,-118.25,NEWTON,1606
33.95,-118.29,SOUTHEAST,1601
34.02,-118.41,PACIFIC,1601
34.02,-118.21,HOLLENBECK,1599
34.05,-118.33,WILSHIRE,1596
33.94,-118.26,SOUTHEAST,1593
34.0,-118.47,PACIFIC,1590
33.98,-118.37,PACIFIC,1588
33.98,-118.3,77TH STREET,1581
34.04,-118.35,WILSHIRE,1573
34.04,-118.22,HOLLENBECK,1552
34.18,-118.45,VAN NUYS,1549
34.2,-118.59,TOPANGA,1547
33.98,-118.31,77TH STREET,1540
34.08,-118.26,NORTHEAST,1537
34.19,-118.44,VAN NUYS,1525
33.96,-118.28,77TH STREET,1524
34.0,-118.3,77TH STREET,1523
33.99,-118.32,77TH STREET,1522
33.94,-118.4,PACIFIC,1519
33.79,-118.3,HARBOR,1511
33.94,-118.29,SOUTHEAST,1506
33.95,-118.25,SOUTHEAST,1503
34.1,-118.3,NORTHEAST,1494
33.97,-118.31,77TH STREET,1481
33.95,-118.26,SOUTHEAST,1474
34.19,-118.39,N HOLLYWOOD,1473
34.05,-118.38,WEST LA,1459
33.99,-118.26,NEWTON,1448
34.21,-118.46,VAN NUYS,1446
34.19,-118.63,TOPANGA,1445
34.2,-118.46,VAN NUYS,1437
34.07,-118.26,RAMPART,1428
34.03,-118.36,SOUTHWEST,1426
34.18,-118.44,VAN NUYS,1422
34.2,-118.47,VAN NUYS,1418
34.05,-118.37,WILSHIRE,1407
33.96,-118.3,77TH STREET,1404
34.22,-118.6,TOPANGA,1398
34.08,-118.22,HOLLENBECK,1395
33.99,-118.28,NEWTON,1395
34.19,-118.46,VAN NUYS,1385
34.18,-118.4,N HOLLYWOOD,1380
33.98,-118.28,NEWTON,1379
34.02,-118.34,SOUTHWEST,1378
34.07,-118.38,WILSHIRE,1376
33.97,-118.3,77TH STREET,1375
34.01,-118.33,SOUTHWEST,1374
34.05,-118.45,WEST LA,1373
34.15,-118.44,VAN NUYS,1371
34.24,-118.47,MISSION,1366
34.01,-118.35,SOUTHWEST,1365
34.22,-118.46,MISSION,1360
34.11,-118.33,HOLLYWOOD,1358
34.06,-118.38,WEST LA,1358
34.04,-118.23,CENTRAL,1345
33.95,-118.31,77TH STREET,1343
34.11,-118.32,HOLLYWOOD,1341
34.0,-118.28,77TH STREET,1341
34.2,-118.44,VAN NUYS,1339
34.04,-118.3,OLYMPIC,1335
34.16,-118.46,VAN NUYS,1331
33.96,-118.26,SOUTHEAST,1330
34.0,-118.28,NEWTON,1329
34.01,-118.32,SOUTHWEST,1328
34.2,-118.39,N HOLLYWOOD,1321
34.03,-118.24,NEWTON,1318
34.27,-118.42,FOOTHILL,1297
33.99,-118.46,PACIFIC,1291
34.07,-118.21,HOLLENBECK,1289
34.11,-118.2,NORTHEAST,1285
34.03,-118.35,SOUTHWEST,1281
33.79,-118.28,HARBOR,1280
34.15,-118.37,N HOLLYWOOD,1276
34.08,-118.3,RAMPART,1268
33.99,-118.28,77TH STREET,1267
34.16,-118.38,N HOLLYWOOD,1266
34.1,-118.36,HOLLYWOOD,1263
34.07,-118.22,HOLLENBECK,1252
34.09,-118.29,RAMPART,1240
34.01,-118.28,SOUTHWEST,1231
34.0,-118.46,PACIFIC,1231
34.24,-118.54,DEVONSHIRE,1231
34.19,-118.47,VAN NUYS,1228
34.03,-118.22,HOLLENBECK,1226
34.05,-118.47,WEST LA,1220
34.2,-118.48,WEST VALLEY,1219
33.73,-118.28,HARBOR,1213
34.17,-118.4,N HOLLYWOOD,1211
34.04,-118.33,WILSHIRE,1209
34.06,-118.23,CENTRAL,1207
34.06,-118.21,HOLLENBECK,1207
34.2,-118.43,VAN NUYS,1202
34.04,-118.45,WEST LA,1200
33.95,-118.38,PACIFIC,1200
33.93,-118.26,SOUTHEAST,1199
34.19,-118.48,WEST VALLEY,1191
34.17,-118.47,VAN NUYS,1187
34.19,-118.4,N HOLLYWOOD,1187
